stage,dataset_group,source_id,clip_id,path,error_type,error_message,notes
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0013,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0013.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0013.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0014,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0014.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0014.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0015,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0015.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0015.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0016,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0016.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0016.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0017,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0017.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0017.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0018,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0018.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0018.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0019,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0019.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0019.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0020,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0020.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0020.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0021,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0021.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0021.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0022,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0022.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0022.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0023,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0023.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0023.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0024,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0024.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0024.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0025,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0025.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0025.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0026,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0026.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0026.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0027,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0027.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0027.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0028,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0028.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0028.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0029,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0029.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0029.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0030,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0030.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0030.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0031,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0031.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0031.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
new_discovery_clip_extract,argentina/new_discovery,vDNy6EN7bIY,new_discovery::vDNy6EN7bIY::clip_0032,/opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0032.mp4,clip_extract_failed,"bm -map 0:v:0 -map 1:a:0 -c:v copy -c:a aac -b:a 96k -shortest /opt/labios-argentos/data_release/work/new_discovery_ingest/vDNy6EN7bIY/clips_with_audio/clip_0032.mp4
Input #0, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/video.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #0:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Input #1, matroska,webm, from '/opt/labios-argentos/data_release/work/new_discovery_ingest/source_cache/vDNy6EN7bIY/audio.webm':
  Metadata:
    encoder         : google/video-file
  Duration: 00:13:33.37, start: 0.000000, bitrate: 585 kb/s
  Stream #1:0(eng): Video: vp9 (Profile 0), yuv420p(tv, bt709), 1280x720, SAR 1:1 DAR 16:9, 30 fps, 30 tbr, 1k tbn, 1k tbc (default)
Stream map '1:a:0' matches no streams.
To ignore this, add a trailing '?' to the map.
",continuing_with_next_clip
