titulo,clip,n_frames,luma_media,frac_oscuros,movimiento_global,actividad_boca,textura_boca,estado,razones,texto
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0108,100,106.77,0.0,21.028,43.805,107.28,keep,,si todos estos jugadores son de milito que falso se tendria que haber ido en diciembre costa
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0109,150,104.66,0.0,14.053,32.264,109.52,keep,,basta de querer exhibir a costa de responsabilidad porque en realidad lo estan dejando como un boludo
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0110,200,107.84,0.0,18.476,41.51,112.88,keep,,y yo no me creo esa de que no pero gustavo queria otro gustavo queria otro gustavo queria gustavo andate
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0111,175,100.58,0.0,12.423,35.292,110.09,keep,,o te hubiera sido si querias a otro porque nadie mas que vos tenia la espalda para poder plantarse
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0112,75,102.3,0.0,10.477,29.664,110.61,keep,,y el año pasado decir esto no esto no esto no
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0114,225,107.31,0.0,11.635,34.553,100.5,keep,,lo que pasa es que cuando las cosas salen mal nadie pone los huevos sobre la mesa y dice esta es mia tambien es mia
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0115,175,107.05,0.0,14.509,39.173,123.0,keep,,no no aca todos se van a hacer los boludos milito le va a tirar la pelota a costa a costa le va a tirar la pelota a milito no no no
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0116,150,91.34,0.0,11.621,32.842,93.15,keep,,los dos son responsables milito el maximo responsable obviamente por ser presidente
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0117,225,90.11,0.0,9.899,31.859,89.07,keep,,y porque llego y desarmo lo que habia armado costas o sea desde ese lugar tambien milito es mas responsable que costas
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0118,250,106.18,0.0,12.106,34.949,100.2,keep,,y costas porque hizo de un racing competitivo el tambien a un racing que se las me reir hoy
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0121,225,93.39,0.0,12.509,36.936,81.89,keep,,que hacemos todo lo posible para estar donde estamos por los refuerzos que trajeron por los jugadores que se fueron tambien
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0122,75,91.88,0.0,12.398,34.033,77.9,keep,,y nunca vos pudiste reemplazarlos
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0124,75,102.98,0.0,13.93,34.043,114.75,keep,,de vuelta es un desastre el campo de juego de racing
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0125,200,97.32,0.0,7.888,33.249,76.07,keep,,que hace vengo en guerra maravilla la puta que lo pario
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0126,125,91.47,0.0,10.608,33.133,70.35,keep,,pero gente saben que cuando vos haces las cosas mal te va mal
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0127,175,104.75,0.0,13.334,35.096,105.22,keep,,y todos vimos que racing estaba haciendo las cosas mal y lo vengo contando hace tiempo que racing esta haciendo las cosas mal
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0128,125,95.03,0.0,12.728,34.853,87.67,keep,,aun habiendo llegado a la final del campeonato anterior aun habiendo llegado a la semifinal
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0129,124,99.13,0.0,10.704,29.187,106.7,keep,,no se trajeron los jugadores que se tenian que traer
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0130,150,100.16,0.0,11.116,30.455,100.29,keep,,por una cuestion jerarquica siempre mas responsable sera milito obvio pero tambien es el entrenador
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0131,100,105.79,0.0,13.763,37.02,107.91,keep,,y el entrenador no logro que este equipo este equipo durante seis meses
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0133,200,87.64,0.0,8.992,26.899,73.68,keep,,vos viste contra quien perdiste hoy viste el gol que se hace el arquero y de martirena
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0134,75,82.85,0.0,8.644,25.576,90.91,keep,,lo mal que pateo martirena y el gol
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0135,125,97.37,0.0,10.192,28.443,104.88,keep,,vos viste como marcaban vos viste sobre el final con el partido 22
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0136,125,102.53,0.0,12.528,35.686,105.49,keep,,las chances que desperdice a racing por lo mal que marcan estos pibes
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0137,100,100.71,0.0,12.322,31.668,123.65,keep,,porque era solamente cuestion de atacarlos para generarles quilombos
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0138,75,109.66,0.0,16.276,40.305,114.92,keep,,pero ya esta saben que tecnico traen
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0141,123,107.33,0.0,15.568,40.461,116.65,keep,,porque ellos eran los que tenian la formula del exito que se ocupen ellos
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0142,200,95.73,0.0,11.73,34.721,86.01,keep,,que se ocupen ellos aca no hay aza no hay nada lo que respecta de la subamericana milito
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0143,125,92.21,0.0,10.124,32.469,72.47,keep,,aca no hay nada eh hoy perdiste y encima te pitaron a favor
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0144,75,106.47,0.0,17.0,42.061,127.6,keep,,asi que aca no hay donde buscar un enemigo
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0145,150,93.59,0.0,10.818,30.478,87.82,keep,,en el camperato local lo vengo diciendo hace un año y medio que a racing no lo dirigen como
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0147,98,101.29,0.0,9.76,28.659,88.1,keep,,porque hasta eso perdimos en el ambito local
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0148,200,92.32,0.0,7.045,24.796,70.58,keep,,y bueno se viene no podemos perder veremos que hace el tecnico de racing capaz que ahora cuando prendo
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0149,150,88.49,0.0,7.481,19.997,74.18,keep,,renuncio costas y todo este analisis ya va mas de la mano compensar
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0150,175,89.69,0.0,8.467,26.15,81.87,keep,,en quien va a ser el tecnico y no en mi opinion sobre lo que deberia hacer el actual entrenador
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0151,175,98.17,0.0,10.469,30.291,99.69,keep,,o quizas no y ahi realmente estaria muy preocupado porque costas no estaria entendiendo algo que el
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0152,112,105.26,0.0,10.873,28.59,102.74,keep,,siempre dijo que entendia lo que significaba racing siempre dijo que lo entendia
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0153,100,102.67,0.0,10.157,26.646,109.22,keep,,y si el entiende lo que significa racing y este no es al racing de hace 20 años
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0154,100,95.27,0.0,13.665,36.025,102.27,keep,,no no no no no no no no me cambien cuando tengan ganas las condiciones
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0155,125,102.65,0.0,12.022,32.523,109.08,keep,,este es un racing que no admite que un entrenador quede afuera en zona de grupos
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0156,246,101.7,0.0,11.027,35.124,114.7,keep,,y salga 8 de 15 y 16 o 15 en tabla general y estar afuera de todo
AZZARO REACCIN - CICLO TERMINADO RACING EMPAT 2-2,clip_0157,175,87.97,0.0,11.756,31.997,72.05,keep,,para el año que viene y va a tener que hacer muy buena clausura para poder entrar
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0000,75,116.68,0.0,10.246,21.228,73.23,keep,,y river se metio en la final
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0001,100,108.05,0.0,9.522,21.024,47.23,keep,,y river que durante todo el semestre estuvimos diciendo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0002,125,107.47,0.0,8.533,24.332,47.04,keep,,no tienen plantel que deberia tener esta plagado de pibes
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0003,75,106.66,0.0,9.022,24.684,52.15,keep,,hay jugadores que no estan a la altura
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0004,125,107.17,0.0,7.945,23.393,46.92,keep,,que culo que tiene river gana pero no sabemos bien como
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0005,75,109.28,0.0,9.129,24.837,49.22,keep,,hoy reemplazo todo eso
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0006,75,109.52,0.0,6.938,17.948,49.89,keep,,por un equipo serio por un equipo que fue al frente
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0007,75,109.78,0.0,7.969,21.504,57.92,keep,,por un equipo que entendio lo que se estaba jugando
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0008,125,114.81,0.0,7.482,20.425,56.8,keep,,y porque en definitiva es river y cuando river llega a una instancia asi
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0009,100,105.65,0.0,9.278,27.183,51.46,keep,,por mas que tenga todo eso que les marcamos
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0010,125,111.21,0.0,8.884,19.758,58.1,keep,,por mas que hace diez dias una semana menos contra san lorenzo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0011,125,108.42,0.0,9.221,19.23,53.41,keep,,era el que se vayan todos casi todos los jugadores cuestionados
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0012,200,111.11,0.0,6.754,20.295,46.62,keep,,te salva el arquero cuando river llega a una instancia asi
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0013,100,106.97,0.0,7.341,21.632,54.5,keep,,te das cuenta que a pesar de que se entra el juega bien
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0014,150,103.81,0.0,7.467,18.059,38.12,keep,,a pesar de que se entra el tiene probablemente uno de los mejores equipos
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0015,225,110.81,0.0,8.483,20.863,56.23,keep,,sino el mejor del futbol argentino entra al monumental y central no estuvo a la altura
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0016,125,106.78,0.0,8.275,22.088,43.63,keep,,y river se agrando y river le tiro la grandeza encima a central
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0017,125,111.88,0.0,13.419,25.595,45.47,keep,,hoy central quedo muy chico muy chico en relacion a lo que puede
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0018,75,105.02,0.0,7.777,17.858,47.38,keep,,porque central de verdad puede mucho mas que lo que hizo hoy
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0019,125,111.02,0.0,9.777,23.644,59.41,keep,,me imagino en los hinchas de central recotrameda caliente con almiron
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0020,175,115.36,0.0,11.274,22.207,65.26,keep,,el partido que planifico almiron el miedo es central
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0021,100,107.6,0.0,8.873,17.076,49.98,keep,,porque central es un equipo que tiene muchachos grandes tambien
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0022,150,107.09,0.0,8.13,18.19,42.27,keep,,muchachos que estan hechos tambien y algunas pibes y algunas pibes
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0023,100,107.7,0.0,8.094,19.59,54.52,keep,,pero este no fue el central que te sale a apretar
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0024,150,103.96,0.0,8.864,20.139,42.66,keep,,que este fue un central y al central ya esto le paso varias veces che
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0025,125,109.17,0.0,8.596,18.516,47.06,keep,,varias veces es mas almiron esta en central
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0026,75,112.07,0.0,8.591,23.126,56.31,keep,,porque entendieron que jolan
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0027,75,108.02,0.0,8.866,20.137,54.6,keep,,cuando llego la dificil no pudo dar ese salto
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0028,100,110.57,0.0,9.698,21.07,51.03,keep,,hoy almiron retrocedio hoy central retrocedio
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0029,100,107.23,0.0,14.746,27.535,43.91,keep,,central que perdio como local contra uracan en el apertura
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0030,71,114.57,0.0,11.892,32.595,42.88,keep,,contra estudiante que habia salido octavo en el clausura
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0031,75,111.47,0.0,10.575,21.114,53.68,keep,,que el otro dia con racing fue un partido mega parejo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0032,125,107.94,0.0,10.303,20.148,44.64,keep,,hasta que se desvirtio totalmente y central saco provecho pero le costo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0033,125,113.62,0.0,10.049,23.302,64.66,keep,,hoy en el monumental fue una sombra de lo que podria hacer central
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0034,75,104.55,0.0,8.333,23.483,50.44,keep,,en base a la calidad de jugadores que tiene
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0035,75,106.95,0.0,8.337,18.083,52.52,keep,,asi todo fijense que cuando intento un poco
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0036,75,112.35,0.0,13.843,28.316,46.79,keep,,y bueno meto un tiro en el palo por la rosca de deymaria
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0037,100,107.59,0.0,9.505,20.506,57.47,keep,,y otra jugada en la unica jugada donde central conecto un poquito
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0038,75,113.53,0.0,8.963,18.906,65.76,keep,,que es la que gana copetti de costado
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0039,75,111.24,0.0,11.043,19.521,54.91,keep,,que martin en cuarta tiene que abarrer ahi que termine todo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0040,100,110.93,0.0,12.512,27.531,40.4,keep,,y es la que le pega si mucha conviccion
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0042,94,110.96,0.0,10.814,22.462,48.0,keep,,y mucho de river mucho de river
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0043,100,113.96,0.0,9.703,21.327,62.77,keep,,river jugo con una intensidad con un hambre
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0044,125,115.5,0.0,13.042,24.521,61.78,keep,,river entro a la cancha sabiendo que tenia la oportunidad de su vida
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0045,75,115.12,0.0,15.257,26.129,43.56,keep,,los jugadores de river hoy entendieron que tenia la oportunidad de su vida
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0046,125,114.3,0.0,9.832,19.132,62.95,keep,,de redimirse de redimirse
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0048,75,111.84,0.0,7.769,22.778,47.18,keep,,todo guacho como dijo luna
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0049,100,111.78,0.0,10.619,22.769,60.92,keep,,o casi dice en una conferencia de prensa que hubo todo guacho
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0050,125,108.41,0.0,7.254,18.812,45.82,keep,,todo guacho pero
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0051,75,104.88,0.0,9.548,18.662,45.66,keep,,pero hoy fue totalmente psicologico tambien lo de river
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0052,100,107.98,0.0,8.062,18.316,54.92,keep,,river salio a cazarlo del cuello a central
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0053,75,110.34,0.0,8.449,18.587,61.39,keep,,y central a central le quedo grande hasta
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0054,125,115.53,0.0,8.003,20.351,59.0,keep,,que se habia hecho su vida lo que hace avila en el penal
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0055,100,114.91,0.0,9.802,24.741,84.56,keep,,es decir que ramirez le perdono la vida avila
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0056,100,98.71,0.0,10.81,22.0,39.83,keep,,porque desde cuando yo voy a hacer una pregunta desde cuando codazo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0057,75,95.33,0.0,10.807,20.689,43.6,keep,,medido codazo por ni siquiera en disputa de la pelota
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0058,100,109.46,0.0,9.865,21.687,51.95,keep,,es codazo y despues salta como me decia bueno le pegue
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0059,100,112.59,0.0,9.577,21.538,65.92,keep,,desde cuando codazo 100 diputas de la pelota es amarilla en el futbol
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0060,100,114.84,0.0,14.388,30.304,50.52,keep,,con vara parte no o sea la ahorita fue la viva
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0061,100,108.77,0.0,10.991,21.97,68.41,keep,,que es eso lo grave no es que vos tenes que resolver ahi
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0062,100,110.08,0.0,9.517,20.439,65.2,keep,,o tenes que apoyar con las lineas como eras te lo conbar
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0063,100,109.31,0.0,9.152,21.94,56.92,keep,,conbar decidio que eso no fuese roja y una jugada asi
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0065,75,117.56,0.0,9.664,20.22,72.54,keep,,y central siguio jugando 11 contra 11
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0066,125,113.58,0.0,7.075,22.19,64.79,keep,,que no te eche en un jugador es mucha ventaja
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0067,125,113.1,0.0,8.057,19.843,58.95,keep,,es mucha ventaja lo del arbitro fue realmente
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0068,100,116.13,0.0,12.164,25.122,54.08,keep,,impresentable en esa decision por que es codazo medido de avila
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0069,125,99.92,0.0,13.325,25.602,49.5,keep,,que es eso algo que no entiendo lo que hace el futbolista
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0070,125,114.81,0.0,10.765,21.067,59.14,keep,,nunca esta jugando una semifinal el partido mas importante de la carrera de avila
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0071,75,109.81,0.0,7.027,17.348,38.04,keep,,probablemente uno de los partidos mas importantes
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0072,125,110.02,0.0,9.68,21.42,55.83,keep,,de la historia central de los ultimos 40 años
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0073,75,111.48,0.0,7.888,19.376,44.21,keep,,en el monumental
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0075,75,114.68,0.0,8.396,18.376,56.56,keep,,y es asi porque para salir campeon
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0076,125,112.88,0.0,11.376,20.499,52.73,keep,,tenes que ser vivo tambien y el pibese que se tendria que haber ido expulsado
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0077,75,106.02,0.0,13.513,25.109,43.17,keep,,no fue vivo y despues en la otra jugada del penal tambien
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0078,75,111.49,0.0,16.069,23.983,56.82,keep,,no se si me la parancha sea derecha tambien
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0079,75,111.97,0.0,15.825,24.848,50.86,keep,,porque va al reves rarisimo el partido de avila
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0080,100,106.71,0.0,14.321,24.769,55.6,keep,,de hoy mami da el partido de central los defensores de central
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0081,100,112.14,0.0,11.532,22.974,58.65,keep,,pero bueno tambien tiene guacho poco a poco viste tambien le quedan grandes
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0082,100,112.97,0.0,12.603,22.241,54.32,keep,,son partidos dificiles central salio a jugar 442
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0083,75,112.18,0.0,11.116,21.117,70.66,keep,,condi maria tiraba la derecha alla
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0085,125,105.71,0.0,9.555,22.417,51.17,keep,,con un panico desde la postura central
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0086,75,107.28,0.0,7.918,15.227,46.59,keep,,transmitio que se sintio
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0087,75,109.16,0.0,7.998,16.322,43.36,keep,,de movida inferior arriba
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0088,75,110.04,0.0,7.244,15.839,46.59,keep,,de movida inferior arriba
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0089,75,110.74,0.0,9.372,20.867,55.04,keep,,y rio sufrio mas de la cuenta
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0090,75,111.68,0.0,8.924,20.121,60.91,keep,,para poder abrir el marcador porque central estaba todo atras
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0091,75,110.71,0.0,8.096,19.318,50.09,keep,,central jugo como si no tuviera nada
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0092,125,110.89,0.0,9.296,20.413,48.01,keep,,con un river que insisto sigue el river es una serie final
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0093,75,109.7,0.0,10.861,20.662,50.63,keep,,es de local es en valentona
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0094,100,112.53,0.0,12.228,22.302,45.62,keep,,pero es un river al cual vos le podes salir a jugar de otra forma
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0095,75,112.02,0.0,7.793,17.766,47.68,keep,,pues tenes para jugar de otra forma
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0096,125,113.52,0.0,9.198,19.29,57.13,keep,,y enfrente no tenes al river de lo que ha hecho caude con river es
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0097,125,117.47,0.0,14.012,25.991,59.58,keep,,increible gente yo se que ahora es una final y si river no gano la final
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0098,100,113.6,0.0,11.992,25.661,63.39,keep,,porque river es ganar pero bueno llego a la final
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0099,75,109.4,0.0,9.705,22.489,54.59,keep,,acuerdense donde estaba el river
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0100,100,108.45,0.0,8.703,17.964,49.8,keep,,donde estaba cuando lo arreglo caude donde estaba hace un mes
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0101,100,114.66,0.0,14.188,26.059,57.4,keep,,donde estaba despues el partido con la chica tuguman donde estaba despues el paron con boca
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0102,75,109.08,0.0,8.496,20.963,53.81,keep,,donde estaba con gallardo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0103,100,114.64,0.0,14.309,25.576,70.91,keep,,donde estaba con gallardo river perdia con cualquiera
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0104,125,114.62,0.0,14.506,27.085,56.81,keep,,caude lo puso en una final el flavio decia que tuvo culo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0105,100,108.58,0.0,9.342,22.033,44.8,keep,,caude que no partido tuvo culo hoy mismo en alguna jugada tuvo culo
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0106,175,108.94,0.0,14.296,26.548,49.51,keep,,aun habiendo ganado con total justicia desde todo punto de vista
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0107,75,113.17,0.0,12.883,21.524,46.86,keep,,desde todos los aspectos que se analizan el juego
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0108,100,108.43,0.0,10.786,21.7,46.16,keep,,futbolisticamente taticamente psicologicamente
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0109,100,114.5,0.0,11.567,26.027,48.17,keep,,desde todo si bueno loco
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0110,100,110.94,0.0,8.023,20.792,50.35,keep,,tiene culo pero evidentemente
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0111,75,112.8,0.0,10.558,21.936,74.17,keep,,hay algo que genero caude que antes no se generaba
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0112,100,113.03,0.0,14.133,26.326,41.19,keep,,hoy la verdad jugo muy bien vera muy bien vera
"AZZARO REACCIN - RIVER, A LA FINAL LE GAN 1-0 A CE",clip_0113,75,111.27,0.0,10.098,18.259,41.41,keep,,el partido de fautoguera de hoy fue
